index,mid,display_name,display_name_es
0,/m/09x0r,Speech,"Discurso, habla"
1,/m/0ytgt,"Child speech, kid speaking","Habla de niños, hablar de niños pequeños"
2,/m/01h8n0,Conversation,"Conversación, diálogo"
3,/m/02qldy,"Narration, monologue","Narración, monólogo"
4,/m/0261r1,Babbling,"Balbuceo, murmullo"
5,/m/0brhx,Speech synthesizer,"Sintetizador de voz, habla sintetizada"
6,/m/07p6fty,Shout,"Gritar, vociferar"
7,/m/07q4ntr,Bellow,"Rugir, bramar"
8,/m/07rwj3x,Whoop,"Gritar, aullar"
9,/m/07sr1lc,Yell,"Gritar, chillar"
10,/t/dd00135,Children shouting,Niños gritando
11,/m/03qc9zr,Screaming,"Gritar, chillar, aullar"
12,/m/02rtxlg,Whispering,"Susurrar, murmurar"
13,/m/01j3sz,Laughter,"Risa, carcajada"
14,/t/dd00001,Baby laughter,Risa de bebé
15,/m/07r660_,Giggle,"Risita, carcajada contenida"
16,/m/07s04w4,Snicker,"Risa disimulada, risita burlona"
17,/m/07sq110,Belly laugh,"Carcajada, risa a carcajadas"
18,/m/07rgt08,"Chuckle, chortle","Reírse entre dientes, risa ahogada"
19,/m/0463cq4,"Crying, sobbing","Llorar, sollozar"
20,/t/dd00002,"Baby cry, infant cry","Llanto de bebé, llanto de infante"
21,/m/07qz6j3,Whimper,"Gemir, quejido"
22,/m/07qw_06,"Wail, moan","Lamentarse, gemir"
23,/m/07plz5l,Sigh,"Suspirar, respirar hondo"
24,/m/015lz1,Singing,"Cantar, canto"
25,/m/0l14jd,Choir,"Coro, conjunto vocal"
26,/m/01swy6,Yodeling,"Yodel, canto alpino"
27,/m/02bk07,Chant,"Cántico, entonación repetitiva"
28,/m/01c194,Mantra,"Mantra, recitación ritual"
29,/t/dd00005,Child singing,"Canto de niño, canto infantil"
30,/t/dd00006,Synthetic singing,"Canto sintético, canto generado por ordenador"
31,/m/06bxc,Rapping,"Rap, canto hablado rítmico"
32,/m/02fxyj,Humming,"Tararear, zumbido"
33,/m/07s2xch,Groan,"Gemir, quejarse"
34,/m/07r4k75,Grunt,"Grunir, resoplar"
35,/m/01w250,Whistling,"Silbar, silbido"
36,/m/0lyf6,Breathing,"Respirar, respiración"
37,/m/07mzm6,Wheeze,"Sibilancia, respiración sibilante"
38,/m/01d3sd,Snoring,"Roncar, ronquido"
39,/m/07s0dtb,Gasp,"Jadeo, respiración entrecortada"
40,/m/07pyy8b,Pant,"Jademear, respirar agitadamente"
41,/m/07q0yl5,Snort,"Resoplar, bufar"
42,/m/01b_21,Cough,"Toser, tos"
43,/m/0dl9sf8,Throat clearing,"Carraspear, aclarar la garganta"
44,/m/01hsr_,Sneeze,"Estornudar, estornudo"
45,/m/07ppn3j,Sniff,"Oler, aspirar por la nariz"
46,/m/06h7j,Run,"Correr, carrera"
47,/m/07qv_x_,Shuffle,"Arrastrar los pies, caminar arrastrando los pies"
48,/m/07pbtc8,"Walk, footsteps","Caminar, pasos"
49,/m/03cczk,"Chewing, mastication","Masticar, masticación"
50,/m/07pdhp0,Biting,"Morder, mordisco"
51,/m/0939n_,Gargling,"Gargarizar, gárgaras"
52,/m/01g90h,Stomach rumble,"Ruido estomacal, tripas sonando"
53,/m/03q5_w,"Burping, eructation","Eructar, eructo"
54,/m/02p3nc,Hiccup,"Hipo, hipar"
55,/m/02_nn,Fart,"Pedo, flatulencia"
56,/m/0k65p,Hands,"Manos, palmas"
57,/m/025_jnm,Finger snapping,"Chasquear los dedos, chasquido de dedos"
58,/m/0l15bq,Clapping,"Aplaudir, aplauso"
59,/m/01jg02,"Heart sounds, heartbeat","Sonidos del corazón, latido del corazón"
60,/m/01jg1z,Heart murmur,"Soplo cardíaco, murmullo del corazón"
61,/m/053hz1,Cheering,"Celebrar, ovacionar"
62,/m/028ght,Applause,"Aplauso, aplaudir"
63,/m/07rkbfh,Chatter,"Charlar, parloteo"
64,/m/03qtwd,Crowd,"Multitud, público"
65,/m/07qfr4h,"Hubbub, speech noise, speech babble","Ruido de fondo, murmullo de fondo"
66,/t/dd00013,Children playing,"Niños jugando, juego de niños"
67,/m/0jbk,Animal,"Animal, criatura"
68,/m/068hy,"Domestic animals, pets","Animales domésticos, mascotas"
69,/m/0bt9lr,Dog,"Perro, can"
